date,equity
1962-12-21,1.0062380165289257
1963-02-07,1.0033855755526377
1963-05-10,1.0156882952777593
1963-02-14,1.0180264267691772
1963-03-04,1.024178828631086
1963-03-05,1.031967736319991
1963-03-22,1.0376837198902482
1963-03-26,1.0430620125320624
1963-04-01,1.0505025173404992
1963-04-03,1.0587558993823971
1963-04-26,1.0503697670620564
1963-05-01,1.0542215002245456
1963-05-07,1.0579765562777474
1963-05-09,1.078980175068693
1963-05-14,1.0872660150246538
1963-07-26,1.1053052624077768
1963-05-17,1.1069002286992886
1963-05-28,1.1029345086499256
1963-05-31,1.108775269034129
1963-06-04,1.1147957385538037
1963-06-17,1.0715309622924252
1963-06-21,1.0738503489745281
1963-06-25,1.0737102666523217
1963-07-01,1.0696682084127198
1963-07-17,1.0683846065626246
1963-07-24,1.073384682050708
1963-07-30,1.0815955913986481
1963-08-05,1.0802976766889698
1963-11-08,1.0858235668088037
1963-08-14,1.092802452190932
1963-08-19,1.099728276472235
1963-08-28,1.0971473487978394
1963-09-03,1.1040593173475057
1963-09-11,1.0971521247326785
1963-09-23,1.1084602755016983
1963-09-24,1.1155846532089386
1963-10-01,1.1191676633763903
1963-10-10,1.1264707707938066
1963-10-11,1.1380752192070576
1963-10-25,1.1305577435697582
1963-10-31,1.1313475718846921
1963-11-08,1.1511012055816527
1963-12-20,1.1442582156458216
1963-11-20,1.1403138321185686
1963-11-26,1.141037774478042
1963-12-12,1.1481173022765676
1963-12-24,1.1483949010768486
1964-01-31,1.129101864658202
1964-01-02,1.1300279214830993
1964-01-20,1.135590426272114
1964-01-22,1.1417011638335195
1964-01-27,1.147235304711842
1964-02-06,1.139615225321581
1964-02-28,1.1310034499906418
1964-02-10,1.135978588644774
1964-02-14,1.1411211525885687
1964-02-18,1.1483236084718849
1964-02-28,1.1364533457580321
1964-03-04,1.137177902503002
1964-04-24,1.139231442871575
1964-03-11,1.1431222912430161
1964-03-18,1.140211926603383
1964-03-25,1.1416380343462909
1964-04-06,1.1329026582688615
1964-04-08,1.1391380532349313
1964-04-14,1.1433618638722405
1964-04-29,1.1065061855843863
1964-07-24,1.171921630375462
1964-05-06,1.1726921103523067
1964-05-08,1.1800068463411146
1964-05-22,1.1648615423051913
1964-06-10,1.1552738295847658
1964-06-22,1.1556739956600983
1964-06-29,1.1700463777152166
1964-07-09,1.1686423220619584
1964-07-15,1.174069239609849
1964-07-16,1.1864934734435337
1964-07-23,1.1967881200683281
1964-07-30,1.1979823581553302
1964-10-23,1.331673209700958
1964-08-11,1.3129540374912292
1964-08-18,1.3182686304523163
1964-08-28,1.3166867080957736
1964-09-04,1.3065201209335577
1964-09-09,1.3120787701753478
1964-09-16,1.3163811884437928
1964-09-29,1.2917511505654924
1964-10-02,1.2947247833800624
1964-10-16,1.2902398395467944
1964-10-21,1.2998563798839684
1964-11-02,1.2751880048111615
1964-12-04,1.2572459036625672
1964-11-17,1.2443570726531203
1964-11-24,1.2474961115718661
1964-12-07,1.227441322842696
1964-12-14,1.231801803821864
1964-12-16,1.2466441168278706
1964-12-18,1.2555368448612425
1965-03-19,1.3075421255564594
1964-12-30,1.3144691570900318
1965-01-07,1.3224631628807022
1965-01-18,1.3366828356164007
1965-01-29,1.3389718506111246
1965-02-03,1.3465361162767124
1965-02-05,1.3584758346233319
1965-02-15,1.3541060490541499
1965-03-02,1.37103993566557
1965-03-05,1.3732477554266838
1965-03-10,1.3909868095598423
1965-03-24,1.3612251957441472
1965-03-31,1.3820692285257608
1965-04-07,1.386333899288069
1965-04-12,1.4123983734704004
1965-06-11,1.408971872050534
1965-04-23,1.4110383737228143
1965-05-04,1.409345127674347
1965-05-25,1.3873594239878564
1965-06-11,1.3334266329846447
1965-06-28,1.3164417808527178
1965-06-30,1.3327404239205227
1965-07-16,1.3113462550131385
1965-07-28,1.2809367803877167
1965-07-30,1.2902245628266518
1965-08-09,1.300441258424089
1965-10-29,1.3020059374259563
1965-08-13,1.3248113003484314
1965-08-24,1.308725056716371
1965-08-27,1.3249996743491286
1965-09-03,1.400443090044272
1965-09-08,1.406133311441715
1965-09-22,1.391194517935942
1965-10-07,1.352426574099742
1965-10-11,1.362914965769125
1965-10-21,1.3556398041878481
1965-11-03,1.3341734034194115
1965-12-31,1.3368643534365656
1965-11-11,1.3406986810281956
1965-11-19,1.3585993780208192
1965-11-24,1.3712736808895551
1965-12-02,1.3561078511919786
1965-12-15,1.3278047419956034
1965-12-22,1.3415322002513117
1965-12-30,1.3429040241896906
1966-04-01,1.4198189084678199
1966-01-13,1.4414194002330878
1966-01-25,1.4221114115841118
1966-02-09,1.4010122104633216
1966-02-10,1.404601260170905
1966-02-18,1.3888500387910554
1966-02-28,1.4070833932656772
1966-03-11,1.3872401011154658
1966-03-17,1.3855754129941273
1966-04-05,1.3882423975173201
1966-04-07,1.4046834278512783
1966-05-06,1.3699694663248287
1966-04-15,1.3912295371547472
1966-04-18,1.40222509890776
1966-04-28,1.3841529060351792
1966-05-03,1.3894474530517407
1966-05-11,1.3701672916508412
1966-05-25,1.3463909929168145
1966-06-03,1.3599918136284759
1966-06-10,1.378952792704939
1966-06-21,1.393441886926824
1966-07-06,1.3707444438111671
1966-08-19,1.3329197674650055
1966-07-13,1.3438653496798465
1966-08-03,1.3198549554322332
1966-08-30,1.2236866760050908
1966-10-07,1.140432610863418
1966-11-18,1.131866077475543
