date,equity
1963-05-10,1.0306530211936362
1963-07-26,1.0734029199271433
1963-11-08,1.0871294758520016
1963-12-20,1.0709727382295229
1964-01-31,1.0259918783731603
1964-02-28,1.0066089951166106
1964-04-24,1.011153385669511
1964-07-24,1.1605991125378152
1964-10-23,1.484396626336767
1964-12-04,1.4321823757441445
1965-03-19,1.5804875544455075
1965-06-11,1.570901833180334
1965-07-16,1.5078585380405447
1965-10-29,1.512394141969163
1965-12-31,1.5200201691254631
1966-04-01,1.7376682163849326
1966-05-06,1.6303106680339967
1966-08-19,1.5178426335281874
1966-11-18,1.4893388677778046
1967-02-17,1.6757568682810748
1967-05-19,1.7899130077473997
1967-08-04,2.043566223925178
1967-09-29,1.9851749277010307
1967-12-29,2.6100959848313443
1968-02-09,2.3948680699442173
1968-05-17,2.390078333804329
1968-06-21,2.3043700168498917
1968-08-02,2.2420207980340763
1968-11-01,2.5969501297819924
1968-11-22,2.4773829744860025
1969-02-21,2.596919172035089
1969-05-16,2.4824698741112328
1969-06-20,2.384938261091066
1969-07-11,2.404925529147684
1969-07-25,2.2189226587700426
1969-09-19,2.120234293441286
1969-12-19,2.993725911263342
1970-02-20,2.967139008852928
1970-04-10,2.786519977374294
1970-04-17,2.5957159101739324
1970-08-14,2.6797254828030113
1970-09-18,2.665580573452055
1971-01-01,2.812047458722365
1971-01-15,2.6258331600337597
1971-02-19,2.51776320813447
1971-06-04,2.981815908016248
1971-07-30,2.7787418435114706
1971-10-22,2.9604452363921974
1971-10-29,2.914337317610114
1971-11-12,2.8228861134766836
1972-03-03,3.167184014539978
1972-06-09,3.505577158297562
1972-07-21,3.512992687684762
1972-09-08,3.377441486280752
1972-09-15,3.279128525182973
1972-12-15,3.604389136699887
1973-01-05,3.4134271867515906
1973-01-26,3.2807260960404183
1973-03-02,3.1962589532535453
1973-03-23,2.9946405217732788
1973-05-04,2.869299330324428
1973-06-22,2.791225234417754
1973-07-06,2.7257454004991724
1973-08-17,2.6296873583832436
1973-11-30,3.013690979220865
1973-12-14,2.8406781517811184
1974-03-22,3.340871060524857
1974-04-12,3.304710686378891
1974-05-24,3.0111375937501226
1974-05-31,2.8486925253930795
1974-08-16,2.6701195913120745
1974-11-22,3.3323092499574685
1975-03-21,4.244000339523407
1975-06-20,5.786217658207253
1975-08-01,5.453188877926795
1975-08-22,4.979878568522866
1975-09-05,4.500118946430834
1975-10-03,4.228124744136171
1975-12-05,4.188804400307784
1976-02-27,4.228026841510666
1976-04-30,4.3761648630556795
1976-07-30,5.2459607823521095
1976-08-27,4.997016097953218
1976-10-22,5.116814691678175
1976-10-29,4.793306693416564
1976-11-05,3.360707155421688
1977-02-04,4.254177084163831
1977-02-18,4.017395813284273
1977-02-25,3.90829446031722
