horizon,n,mean_%,median_%,std_%,win_rate_%,p10_%,p25_%,p75_%,p90_%,min_%,max_%
1w,39649,0.6142934864894274,0.0,14.853393289099213,48.27864511084769,-8.146413739993882,-3.207548493887402,3.4122145836428475,9.13385937416559,-84.70355730331353,1899.5168568484332
4w,39144,1.8168420931397786,0.1688471535259528,28.17431025588209,50.59268342530145,-15.635283155215795,-6.122448814092326,7.2858454966050035,18.08722928812635,-93.62068965517241,2875.845304352615
12w,38500,4.787277181878446,0.6059137679368054,200.05913447110322,51.522077922077926,-25.97864780761064,-10.619186989721403,12.628480717215107,30.911618019023546,-99.70114942528735,38300.00173395333
26w,37865,9.012133759202298,0.7400489099940843,343.14860335232885,51.20559883797703,-36.19316639700331,-15.625,18.147448867101602,46.551724137931025,-99.99003831417625,65263.638104978716
