horizon,n,mean_%,median_%,std_%,win_rate_%,p10_%,p25_%,p75_%,p90_%,min_%,max_%
1w,22812,0.7273374099681592,0.0,17.717299894578545,47.878309661581625,-8.437128135052964,-3.351393746803724,3.548979991142953,9.469956196466079,-78.35712881884096,1899.5168568484332
4w,22579,2.1734407528432667,0.13986668066054975,33.51457056579985,50.285663669781655,-15.975957591125098,-6.469110253032845,7.7390166153242905,19.33458803438527,-86.17511514408392,2875.845304352615
12w,22243,6.162970387666647,0.7741070688651597,261.658469100528,51.63871779885807,-26.829268276473627,-11.111124064572364,13.425463316432618,32.929180409385545,-93.33333374331237,38300.00173395333
26w,21905,11.930939233676996,1.1666695276896233,446.62735611403247,51.67769915544397,-36.00000143051148,-15.74415980062225,19.738276990185376,50.57208187302253,-98.80952381703258,65263.638104978716
